Index,Locus tag,Ra,Ra_UNIPROT,#Name,Accession,Start,Stop,Strand,GeneID,Locus,Protein product,Length,Protein Name
120,Rv0117,mra:MRA_0124,A5TYJ2,chromosome,NC_000962.3,141200,142144,+,886914,oxyS,NP_214631.1,314,oxidative stress response regulatory protein OxyS
121,Rv0118c,mra:MRA_0125,A5TYJ3,chromosome,NC_000962.3,142128,143876,-,886898,oxcA,NP_214632.1,582,oxalyl-CoA decarboxylase OxcA
122,Rv0119,mra:MRA_0126,A5TYJ4,chromosome,NC_000962.3,144049,145626,+,886896,fadD7,NP_214633.1,525,fatty-acid--CoA ligase FadD7
123,Rv0120c,mra:MRA_0127,A5TYJ5,chromosome,NC_000962.3,145627,147771,-,886894,fusA2,NP_214634.1,714,elongation factor G
124,Rv0121c,mra:MRA_0128,A5TYJ6,chromosome,NC_000962.3,147908,148342,-,886892,,NP_214635.1,144,hypothetical protein Rv0121c
125,Rv0122,mra:MRA_0129,A5TYJ7,chromosome,NC_000962.3,148491,148859,+,886888,,NP_214636.1,122,hypothetical protein Rv0122
126,Rv0123,mra:MRA_0130,A5TYJ8,chromosome,NC_000962.3,148856,149224,+,886887,,NP_214637.1,122,hypothetical protein Rv0123
127,Rv0124,mra:MRA_0131,A5TYJ9,chromosome,NC_000962.3,149533,150996,+,886883,PE_PGRS2,YP_177693.1,487,PE-PGRS family protein PE_PGRS2
128,Rv0125,mra:MRA_0132,A5TYK0,chromosome,NC_000962.3,151148,152215,+,886924,pepA,NP_214639.1,355,serine protease PepA
129,Rv0126,mra:MRA_0133,A5TYK1,chromosome,NC_000962.3,152324,154129,+,886881,treS,NP_214640.1,601,trehalose synthase/amylase TreS
130,Rv0127,mra:MRA_0134,A5TYK2,chromosome,NC_000962.3,154232,155599,+,886880,mak,NP_214641.1,455,maltokinase
131,Rv0128,mra:MRA_0135,A5TYK3,chromosome,NC_000962.3,155667,156446,+,886878,,NP_214642.1,259,transmembrane protein
132,Rv0129c,mra:MRA_0136,A5TYK4,chromosome,NC_000962.3,156578,157600,-,886885,fbpC,YP_177694.1,340,diacylglycerol acyltransferase/mycolyltransferase Ag85C
133,Rv0130,mra:MRA_0137,A5TYK5,chromosome,NC_000962.3,157847,158302,+,886876,htdZ,NP_214644.1,151,3-hydroxyl-thioester dehydratase
134,Rv0131c,mra:MRA_0138,A5TYK6,chromosome,NC_000962.3,158315,159658,-,886874,fadE1,NP_214645.1,447,acyl-CoA dehydrogenase FadE1
135,Rv0132c,mra:MRA_0139,A5TYK7,chromosome,NC_000962.3,159700,160782,-,886877,fgd2,NP_214646.1,360,F420-dependent glucose-6-phosphate dehydrogenase
136,Rv0133,mra:MRA_0140,A5TYK8,chromosome,NC_000962.3,160869,161474,+,886873,,NP_214647.1,201,GCN5-like N-acetyltransferase
137,Rv0134,mra:MRA_0141,A5TYK9,chromosome,NC_000962.3,161771,162673,+,886871,ephF,NP_214648.1,300,epoxide hydrolase EphF
138,Rv0135c,mra:MRA_0142,A5TYL0,chromosome,NC_000962.3,162644,163249,-,886869,,NP_214649.1,201,transcriptional regulator
139,Rv0136,mra:MRA_0143,A5TYL1,chromosome,NC_000962.3,163366,164691,+,886868,cyp138,NP_214650.1,441,cytochrome P450 Cyp138
140,Rv0137c,mra:MRA_0144,A5TYL2,chromosome,NC_000962.3,164712,165260,-,886865,msrA,NP_214651.1,182,peptide methionine sulfoxide reductase MsrA
141,Rv0138,mra:MRA_0145,A5TYL3,chromosome,NC_000962.3,165323,165826,+,886863,,NP_214652.1,167,hypothetical protein Rv0138
142,Rv0139,mra:MRA_0146,A5TYL4,chromosome,NC_000962.3,165827,166849,+,886860,,NP_214653.1,340,oxidoreductase
143,Rv0140,mra:MRA_0147,A5TYL5,chromosome,NC_000962.3,166910,167290,+,886859,,NP_214654.1,126,hypothetical protein Rv0140
144,Rv0141c,mra:MRA_0148,A5TYL6,chromosome,NC_000962.3,167271,167681,-,886872,,NP_214655.1,136,hypothetical protein Rv0141c
145,Rv0142,mra:MRA_0149,A5TYL7,chromosome,NC_000962.3,167711,168637,+,886858,,NP_214656.1,308,hypothetical protein Rv0142
146,Rv0143c,mra:MRA_0150,A5TYL8,chromosome,NC_000962.3,168704,170182,-,886856,,NP_214657.1,492,transmembrane protein
147,Rv0144,mra:MRA_0151,A5TYL9,chromosome,NC_000962.3,170284,171126,+,886854,,NP_214658.1,280,transcriptional regulator
148,Rv0145,mra:MRA_0152,A5TYM0,chromosome,NC_000962.3,171215,172168,+,886851,,NP_214659.1,317,S-adenosylmethionine-dependent methyltransferase
149,Rv0146,mra:MRA_0153,A5TYM1,chromosome,NC_000962.3,172211,173143,+,886849,,NP_214660.1,310,S-adenosylmethionine-dependent methyltransferase
150,Rv0147,mra:MRA_0154,A5TYM2,chromosome,NC_000962.3,173238,174758,+,886847,,NP_214661.1,506,aldehyde dehydrogenase
151,Rv0148,mra:MRA_0155,A5TYM3,chromosome,NC_000962.3,174833,175693,+,886845,,NP_214662.1,286,short-chain type dehydrogenase/reductase
152,Rv0149,mra:MRA_0156,A5TYM4,chromosome,NC_000962.3,175700,176668,+,886843,,NP_214663.1,322,quinone oxidoreductase
153,Rv0150c,mra:MRA_0157,A5TYM5,chromosome,NC_000962.3,176665,176952,-,886840,,NP_214664.1,95,hypothetical protein Rv0150c
154,Rv0151c,mra:MRA_0158,A5TYM6,chromosome,NC_000962.3,177543,179309,-,886857,PE1,YP_177695.1,588,PE family protein PE1
155,Rv0152c,mra:MRA_0159,A5TYM7,chromosome,NC_000962.3,179319,180896,-,886838,PE2,YP_177696.1,525,PE family protein PE2
156,Rv0153c,mra:MRA_0161,A5TYM8,chromosome,NC_000962.3,181155,181985,-,886842,ptbB,NP_214667.1,276,phosphotyrosine protein phosphatase
157,Rv0154c,mra:MRA_0162,A5TYM9,chromosome,NC_000962.3,181987,183198,-,886836,fadE2,NP_214668.1,403,acyl-CoA dehydrogenase FadE2
158,Rv0155,mra:MRA_0163,A5TYN0,chromosome,NC_000962.3,183622,184722,+,886832,pntAa,NP_214669.1,366,NAD(P) transhydrogenase subunit alpha PntAa
159,Rv0156,mra:MRA_0164,A5TYN1,chromosome,NC_000962.3,184723,185055,+,886890,pntAb,NP_214670.1,110,NAD(P) transhydrogenase subunit alpha PntAb
160,Rv0157,mra:MRA_0165,A5TYN2,chromosome,NC_000962.3,185052,186479,+,886830,pntB,NP_214671.1,475,NAD(P) transhydrogenase subunit beta PntB
161,Rv0157A,mra:MRA_1986,A5U3Z5,chromosome,NC_000962.3,186495,186623,-,3205086,,YP_007408797.1,42,hypothetical protein Rv0157A
162,Rv0158,mra:MRA_0166,A5TYN3,chromosome,NC_000962.3,186785,187429,+,886828,,NP_214672.1,214,transcriptional regulator
163,Rv0159c,mra:MRA_0167,A5TYN4,chromosome,NC_000962.3,187433,188839,-,886826,PE3,YP_177697.1,468,PE family protein PE3
164,Rv0160c,mra:MRA_0168,A5TYN5,chromosome,NC_000962.3,188931,190439,-,886825,PE4,YP_177698.1,502,PE family protein PE4
165,Rv0161,mra:MRA_0169,A5TYN6,chromosome,NC_000962.3,190607,191956,+,886835,,NP_214675.1,449,oxidoreductase
166,Rv0162c,mra:MRA_0170,A5TYN7,chromosome,NC_000962.3,191984,193135,-,886824,adhE1,YP_177699.1,383,zinc-type alcohol dehydrogenase subunit E
167,Rv0163,mra:MRA_0171,A5TYN8,chromosome,NC_000962.3,193117,193572,+,886821,,NP_214677.1,151,hypothetical protein Rv0163
168,Rv0164,mra:MRA_0172,A5TYN9,chromosome,NC_000962.3,193626,194111,+,886267,TB18.5,YP_177617.1,161,hypothetical protein Rv0164
169,Rv0165c,mra:MRA_0173,A5TYP0,chromosome,NC_000962.3,194144,194815,-,886818,mce1R,YP_177700.2,223,transcriptional regulator Mce1R
170,Rv0166,mra:MRA_0174,A5TYP1,chromosome,NC_000962.3,194993,196657,+,886822,fadD5,NP_214680.1,554,fatty-acid--CoA ligase FadD5
171,Rv0167,mra:MRA_0175,A5TYP2,chromosome,NC_000962.3,196861,197658,+,886816,yrbE1A,NP_214681.1,265,membrane protein
172,Rv0168,mra:MRA_0176,A5TYP3,chromosome,NC_000962.3,197660,198529,+,886812,yrbE1B,NP_214682.1,289,membrane protein
173,Rv0169,mra:MRA_0177,A5TYP4,chromosome,NC_000962.3,198534,199898,+,886823,mce1A,YP_177701.1,454,Mce family protein Mce1A
174,Rv0170,mra:MRA_0178,A5TYP5,chromosome,NC_000962.3,199895,200935,+,886810,mce1B,NP_214684.1,346,Mce family protein Mce1B
175,Rv0171,mra:MRA_0179,A5TYP6,chromosome,NC_000962.3,200932,202479,+,886808,mce1C,NP_214685.1,515,Mce family protein Mce1C
176,Rv0172,mra:MRA_0180,A5TYP7,chromosome,NC_000962.3,202476,204068,+,886807,mce1D,NP_214686.1,530,Mce family protein Mce1D
177,Rv0173,mra:MRA_0181,A5TYP8,chromosome,NC_000962.3,204065,205237,+,886804,lprK,NP_214687.1,390,Mce family lipoprotein LprK
178,Rv0174,mra:MRA_0182,A5TYP9,chromosome,NC_000962.3,205231,206778,+,886820,mce1F,NP_214688.1,515,Mce family protein Mce1F
179,Rv0175,mra:MRA_0183,A5TYQ0,chromosome,NC_000962.3,206814,207455,+,886801,,NP_214689.3,213,Mce associated membrane protein
180,Rv0176,mra:MRA_0184,A5TYQ1,chromosome,NC_000962.3,207452,208420,+,886799,,NP_214690.1,322,Mce associated transmembrane protein
181,Rv0177,mra:MRA_0185,A5TYQ2,chromosome,NC_000962.3,208417,208971,+,886795,,NP_214691.1,184,Mce associated protein
182,Rv0178,mra:MRA_0186,A5TYQ3,chromosome,NC_000962.3,208938,209672,+,886814,,NP_214692.1,244,Mce associated membrane protein
183,Rv0179c,mra:MRA_0187,A5TYQ4,chromosome,NC_000962.3,209703,210812,-,886796,lprO,NP_214693.1,369,lipoprotein LprO
